epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0448,1.62416,2.6318,1.49547,0,0,0,0,1.55585,3.05535,1.41371,0.000647059,0.000647059,0.000647059
2,19.1611,1.52849,1.98219,1.43583,0.4487,0.25287,0.29368,0.15429,1.86187,2.9959,1.92207,0.00128771,0.00128771,0.00128771
3,27.18,1.59531,1.96728,1.50868,0.39671,0.37931,0.3287,0.17103,1.81483,2.99117,1.84757,0.00190197,0.00190197,0.00190197
4,36.1407,1.58554,1.82417,1.4742,0.51904,0.43678,0.46814,0.2444,1.75186,2.40996,1.77477,0.0018812,0.0018812,0.0018812
5,44.7273,1.57159,1.68771,1.47138,0.56146,0.52586,0.56285,0.31376,1.62187,2.02524,1.60723,0.0018416,0.0018416,0.0018416
6,53.5078,1.53362,1.5884,1.41433,0.55841,0.56609,0.54609,0.30203,1.6109,1.94835,1.57913,0.001802,0.001802,0.001802
7,62.3674,1.47727,1.50372,1.40441,0.62617,0.56322,0.59402,0.34106,1.59905,1.89772,1.54201,0.0017624,0.0017624,0.0017624
8,71.1783,1.46997,1.47742,1.41735,0.70354,0.5431,0.64266,0.38847,1.57498,1.62874,1.50649,0.0017228,0.0017228,0.0017228
9,80.0919,1.45385,1.38679,1.39917,0.68313,0.47701,0.60648,0.39187,1.57467,1.63074,1.54126,0.0016832,0.0016832,0.0016832
10,88.9643,1.4379,1.38691,1.38108,0.67074,0.60293,0.64631,0.37809,1.58129,1.55749,1.55828,0.0016436,0.0016436,0.0016436
11,97.8291,1.39319,1.31836,1.34264,0.71721,0.61947,0.68351,0.43159,1.42618,1.37433,1.37113,0.001604,0.001604,0.001604
12,106.755,1.39493,1.3106,1.36009,0.69492,0.58908,0.67326,0.38886,1.64271,1.54936,1.57551,0.0015644,0.0015644,0.0015644
13,115.621,1.35134,1.25483,1.33176,0.73117,0.62931,0.7185,0.4382,1.49465,1.40218,1.45943,0.0015248,0.0015248,0.0015248
14,124.444,1.35709,1.24961,1.31511,0.68712,0.64368,0.7074,0.44495,1.45465,1.33646,1.4437,0.0014852,0.0014852,0.0014852
15,133.34,1.33618,1.22118,1.31729,0.7109,0.65715,0.71282,0.43109,1.47409,1.44155,1.41867,0.0014456,0.0014456,0.0014456
16,142.229,1.34003,1.2179,1.30536,0.69544,0.62334,0.69578,0.41872,1.53053,1.32466,1.44751,0.001406,0.001406,0.001406
17,151.046,1.29459,1.17257,1.27792,0.73332,0.67529,0.73293,0.4687,1.38554,1.21927,1.38144,0.0013664,0.0013664,0.0013664
18,159.947,1.30162,1.15703,1.29631,0.79919,0.67529,0.75206,0.4784,1.35526,1.19054,1.40366,0.0013268,0.0013268,0.0013268
19,168.777,1.26863,1.10112,1.26601,0.80688,0.64832,0.75751,0.48724,1.36675,1.24257,1.36497,0.0012872,0.0012872,0.0012872
20,177.642,1.23288,1.07665,1.23307,0.78659,0.69903,0.7759,0.51549,1.3411,1.12754,1.34861,0.0012476,0.0012476,0.0012476
21,186.538,1.24544,1.06274,1.26487,0.69746,0.69828,0.73215,0.49304,1.31886,1.19206,1.31196,0.001208,0.001208,0.001208
22,195.385,1.24194,1.0621,1.24619,0.77563,0.62582,0.71244,0.44976,1.41655,1.28017,1.39088,0.0011684,0.0011684,0.0011684
23,204.214,1.22448,1.04574,1.25339,0.78121,0.64641,0.74369,0.50347,1.32256,1.1307,1.3118,0.0011288,0.0011288,0.0011288
24,213.037,1.23562,1.05799,1.25598,0.74122,0.6954,0.76088,0.5032,1.38316,1.22309,1.40292,0.0010892,0.0010892,0.0010892
25,221.933,1.21581,1.02306,1.23427,0.78645,0.66092,0.76928,0.51397,1.30173,1.15808,1.31467,0.0010496,0.0010496,0.0010496
26,230.83,1.1858,0.98392,1.22966,0.75163,0.66962,0.75284,0.49981,1.35962,1.16061,1.35367,0.00101,0.00101,0.00101
27,239.688,1.19078,0.99009,1.2172,0.74325,0.7154,0.76509,0.50738,1.29736,1.11349,1.28637,0.0009704,0.0009704,0.0009704
28,248.612,1.16244,0.97552,1.19367,0.77231,0.71552,0.77478,0.51457,1.3257,1.1374,1.36488,0.0009308,0.0009308,0.0009308
29,260.971,1.19398,0.9866,1.22107,0.80101,0.69403,0.77591,0.51366,1.28905,1.07103,1.31635,0.0008912,0.0008912,0.0008912
30,269.903,1.13221,0.9137,1.17677,0.76191,0.69253,0.76653,0.52222,1.29901,1.10365,1.33161,0.0008516,0.0008516,0.0008516
31,278.729,1.15765,0.90862,1.2047,0.78747,0.71552,0.79235,0.52168,1.29919,1.11917,1.31571,0.000812,0.000812,0.000812
